7471;45.0745;3.764;833
7558;44.1185;3.0195;712
7627;43.005333;1.106833;414
7434;45.861167;1.175;402
7621;43.188;0.0;360
7181;48.581;5.959833;336
7460;45.786833;3.149333;331
7299;47.614333;7.51;263
7535;44.745;1.396667;260
7481;45.7265;5.077833;235
7280;47.267833;5.088333;219
7255;47.059167;2.359833;161
7630;43.621;1.378833;151
7190;48.5495;7.640333;150
61997;-46.4325;51.856667;146
7139;48.4455;0.110167;143
7335;46.593833;0.314333;123
7661;43.079333;5.940833;115
7168;48.324667;4.02;112
7240;47.4445;0.727333;108
81415;3.640167;-54.028333;106
7072;49.209667;4.155333;95
7110;48.444167;-4.412;94
7149;48.716833;2.384333;89
7577;44.581167;4.733;73
7005;50.136;1.834;69
7027;49.18;-0.456167;67
7607;43.909833;-0.500167;59
7117;48.825833;-3.473167;55
7015;50.57;3.0975;47
78894;17.9015;-62.852167;44
89642;-66.663167;140.001;43
7747;42.737167;2.872833;42
7130;48.068833;-1.734;36
7207;47.294333;-3.218333;34
61998;-49.352333;70.243333;29
61996;-37.795167;77.569167;27
7222;47.15;-1.608833;26
71805;46.766333;-56.179167;21
7314;46.046833;-1.4115;11
7790;42.540667;9.485167;10
7650;43.437667;5.216;9
61980;-20.8925;55.528667;8
61976;-15.887667;54.520667;7
81408;3.890667;-51.804667;6
7761;41.918;8.792667;5
81405;4.822333;-52.365333;4
78925;14.595333;-60.995667;3
7690;43.648833;7.209;2
